가로수길명,가로수길시작위도,가로수길시작경도,가로수길종료위도,가로수길종료경도,가로수종류,가로수수량,가로수길길이,식재연도,가로수길소개,도로명,도로종류,도로구간,관리기관전화번호,관리기관명,데이터기준일자,제공기관코드,제공기관명
"아차산로76,78길",37.546415,127.107589,37.550243,127.108834,칠엽수 외 5종,189,1.1,,"칠엽수, 느티나무 등 6종 가로수가 식재된 거리","아차산로76,78길",구도,광진청소년수련관 앞 워커힐 푸르지오아파트 앞 교차로,02-450-7792,서울특별시 광진구청,2021-06-22,3040000,서울특별시 광진구
능동로10길,37.537397,127.069631,37.535347,127.075446,대왕참나무 외 1종,47,0.6,,"대왕참나무, 느티나무 가로수가 식재된 거리",능동로10길,구도,이튼리버1차 앞~자양중학교 앞,02-450-7792,서울특별시 광진구청,2021-06-22,3040000,서울특별시 광진구
아차산로36길,37.536168,127.073686,37.538605,127.074453,대왕참나무 외 1종,25,0.3,,"대왕참나무, 느티나무 가로수가 식재된 거리",아차산로36길,구도,자양고등학교 앞~KU 동문회관,02-450-7792,서울특별시 광진구청,2021-06-22,3040000,서울특별시 광진구
아차산로70길,37.539235,127.098352,37.542859,127.101334,은행나무 외 1종,137,0.5,,"은행나무, 벚나무 가로수 식재된 거리",아차산로70길,구도,광남중고교입구 교차로~상록타워 아파트 앞 교차로,02-450-7792,서울특별시 광진구청,2021-06-22,3040000,서울특별시 광진구
강변역로4길,37.532437,127.092966,37.535356,127.093916,은행나무,75,0.3,,은행나무 가로수 식재된 거리,강변역로4길,구도,리젠트 오피스텔 앞~강변우성아파트 앞 교차로,02-450-7792,서울특별시 광진구청,2021-06-22,3040000,서울특별시 광진구
군자로,37.548056,127.070414,37.548694,127.070768,느티나무 외 1종,16,0.08,,"느티나무, 공작단풍 가로수 식재된 거리",군자로,구도,화양삼거리~광진두산위브파크 앞 교차로,02-450-7792,서울특별시 광진구청,2021-06-22,3040000,서울특별시 광진구
천호대로 138길,37.547742,127.092301,37.548779,127.093213,왕벚나무,15,0.1,2010,왕벚나무 가로수 식재된 거리,천호대로 138길,구도,아차산휴먼시아아파트 101동 앞~103동 앞,02-450-7792,서울특별시 광진구청,2021-06-22,3040000,서울특별시 광진구
북유성대로,36.366987,127.326887,36.376743,127.324657,이팝나무,160,1.2,,없음,북유성대로,,월드컵네거리~은구비네거리,042-611-2721,유성구청,2021-08-17,3670000,대전광역시 유성구
북유성대로,36.387332,127.318365,36.395673,127.311815,이팝나무,180,1,,없음,북유성대로,,반석네거리~외삼네거리,042-611-2721,유성구청,2021-08-17,3670000,대전광역시 유성구
노은지구,36.386543,127.316518,36.397066,127.310948,이팝나무,320,2,,없음,"반석서로,동로",,반석마을1~8단지,042-611-2721,유성구청,2021-08-17,3670000,대전광역시 유성구
노은지구,36.366876,127.312996,36.366955,127.326745,이팝나무,160,1,,없음,지족로,,열매마을8~11단지,042-611-2721,유성구청,2021-08-17,3670000,대전광역시 유성구
노은지구,36.384292,127.318918,36.367045,127.312798,중국단풍,340,2,,없음,노은로,,노은서로,042-611-2721,유성구청,2021-08-17,3670000,대전광역시 유성구
노은지구,36.369546,127.323254,36.369658,127.314942,회화나무,110,0.8,,없음,노은서로,,열매마을10단지~노은동성당,042-611-2721,유성구청,2021-08-17,3670000,대전광역시 유성구
노은지구,36.384937,127.320587,36.390694,127.332878,이팝나무,270,1.5,,없음,노은로,,침신대네거리~송림마을6단지,042-611-2721,유성구청,2021-08-17,3670000,대전광역시 유성구
관평동,36.419971,127.384044,36.428203,127.386046,은행나무,204,1.1,,없음,대덕대로,,대덕테크노밸리2단지~롯데마트,042-611-2721,유성구청,2021-08-17,3670000,대전광역시 유성구
중 2-147,37.5228305,129.1160694,37.5228305,129.1160694,느티나무,,0.4,,느티나무길,,,아이파크1단지사거리~블루밍105동,052-241-7954,울산광역시 북구청,2020-10-15,6310000,울산광역시
동천서로,35.6036913,129.3474645,35.5976896,129.3472999,무궁화,,0.6,,무궁화길,,,시례IC -성혜원 입구,052-241-7954,울산광역시 북구청,2020-10-15,6310000,울산광역시
동천서로,35.6039814,129.3483611,35.6028524,129.3478499,느티나무,,0.4,,느티나무길,,,시례IC 진입로,052-241-7954,울산광역시 북구청,2020-10-15,6310000,울산광역시
달천로(중2-121),35.6345949,129.3280455,35.6320019,129.331234,이팝나무,,1.6,,이팝나무길,,,달천고~농서초,052-241-7954,울산광역시 북구청,2020-10-15,6310000,울산광역시
매곡1로,35.6448008,129.3505207,37.4436406,126.7831401,은행나무+느티나무,,0.6,,느티나무길,,,엠코입구-매곡초등학교,052-241-7954,울산광역시 북구청,2020-10-15,6310000,울산광역시
중 2-277외1개노선,35.3671516,129.176448,35.6450693,129.3553438,느티나무,,0.8,,느티나무길,,,매곡푸르지오2단지 순환,052-241-7954,울산광역시 북구청,2020-10-15,6310000,울산광역시
달천로(중1-149),35.6329568,129.325965,35.6329568,129.325965,이팝나무,,0.5,,이팝나무길,,,그린카운티 2~3단지 사이,052-241-7954,울산광역시 북구청,2020-10-15,6310000,울산광역시
매곡3차산업단지내,35.3664509,129.1729563,35.3664509,129.1729563,느티나무,,0.54,,느티나무길,,,매곡3차산업단지내,052-241-7954,울산광역시 북구청,2020-10-15,6310000,울산광역시
매곡2차산업단지내,35.3680433,129.1812721,35.3662876,129.1737198,느티나무,,0.4,,느티나무길,,,매곡2차산업단지내,052-241-7954,울산광역시 북구청,2020-10-15,6310000,울산광역시
매곡1차산업단지내 도로,35.6451988,129.3639143,35.6489328,129.363037,느티나무,,4,,느티나무길,,,매곡산업단지내(20M이하),052-241-7954,울산광역시 북구청,2020-10-15,6310000,울산광역시
구도2호선,35.5773527,129.3524577,35.5881528,129.3591967,왕벚나무,,3,,왕벚나무길,,,신현동-황토전-금천,052-241-7954,울산광역시 북구청,2020-10-15,6310000,울산광역시
구도2호선,35.5783741,129.3782965,37.2952714,126.9927915,히말라야시다+무궁화+해송,,0.7,,히말라야시다길,,,병영교-화봉사거리,052-241-7954,울산광역시 북구청,2020-10-15,6310000,울산광역시
국도31호선(구),35.5783741,129.3782965,37.2952714,126.9927915,은행나무+왕벚나무+무궁화+해송,,14.6,,오래된 가로수 길,,,연암사거리-경주경계,052-241-7954,울산광역시 북구청,2020-10-15,6310000,울산광역시
고래로,35.6316073,129.3432321,35.6326316,129.3386589,왕벚나무+무궁화,,0.7,,왕벚나무길,,,가재골로-아진로,052-241-7954,울산광역시 북구청,2020-10-15,6310000,울산광역시
수성로,35.2159286,128.8886496,35.631217,129.3583434,은행나무,,0.8,,은행나무길,,,호계로-호계지구-동대로,052-241-7954,울산광역시 북구청,2020-10-15,6310000,울산광역시
동대로,35.629448,129.359445,35.6335706,129.3570341,은행나무+느티나무+왕벚나무,,1.4,,은행나무길,,,산업로-마동로,052-241-7954,울산광역시 북구청,2020-10-15,6310000,울산광역시
신답로,35.6288009,129.3415105,35.6291428,129.3352392,은행나무+느티나무+중국단풍,,2.4,,은행나무길,,,신답삼거리-아진아파트-농소3동사무소,052-241-7954,울산광역시 북구청,2020-10-15,6310000,울산광역시
호계로,35.6068831,129.3538673,37.369003,126.9551995,무궁화,,2.3,,무궁화길,,,원지삼거리-호계시장사거리,052-241-7954,울산광역시 북구청,2020-10-15,6310000,울산광역시
매곡로,35.6519412,129.3592949,35.6690539,129.3747729,이팝나무,,3.5,,이팝나무길,,,매곡산업단지입구-경주시 양남,052-241-7954,울산광역시 북구청,2020-10-15,6310000,울산광역시
대왕판교로644번길,37.3998501,127.1166701,37.3997901,127.1067601,은행나무+목백합,,0.3,,은행나무 목백합이 있음,,,대왕판교로644번길,,,2022-02-17,3780000,경기도 성남시
대왕판교로712번길,37.4055701,127.1037301,37.4064601,127.1022501,벚나무,,0.2,,벚나무가 있음,,,대왕판교로712번길,,,2022-02-17,3780000,경기도 성남시
서판교로74번길,37.3934101,127.0987201,37.3934301,127.1004501,이팝나무,,0.1,,이팝나무가 있음,,,서판교로74번길,,,2022-02-17,3780000,경기도 성남시
서판교로88번길,37.3946501,127.0982901,37.3946701,127.1002201,이팝나무,,0.1,,이팝나무가 있음,,,서판교로88번길,,,2022-02-17,3780000,경기도 성남시
서판교로132번길,37.3982501,127.0964901,37.3994401,127.0988401,이팝나무,,0.2,,이팝나무가 있음,,,서판교로132번길,,,2022-02-17,3780000,경기도 성남시
판교원로82번길,37.3892601,127.0755601,37.3828601,127.0745601,은행나무,,0.6,,은행나무가 있음,,,판교원로82번길,,,2022-02-17,3780000,경기도 성남시
판교원로,37.3914301,127.0680501,37.3883201,127.1010101,은행나무,,3.8,,은행나무가 있음,,,판교원로,,,2022-02-17,3780000,경기도 성남시
산운로,37.3930701,127.0618001,37.3916601,127.0854201,은행나무,,2.4,,은행나무가 있음,,,산운로,,,2022-02-17,3780000,경기도 성남시
하오개로,37.3937001,127.0381501,37.3915401,127.0651301,은행나무+느티나무,,4.5,,은행나무 느티나무가 있음,,,하오개로,,,2022-02-17,3780000,경기도 성남시
서현로(57번지방도),37.3948601,127.1044001,37.3620201,127.1493301,버즘나무+메타세콰이어+느티나무+소나무,,6,,버즘나무 메타세콰이어 느티나무 소나무가 있음,,,서현로(57번지방도),,,2022-02-17,3780000,경기도 성남시
분당수서간 도시 고속화도로(지하고가도로),37.4107701,127.1184101,37.3386101,127.1039801,은행나무+느티나무,,12,,은행나무 느티나무가 있음,,,분당수서간  도시 고속화도로(지하고가도로),,,2022-02-17,3780000,경기도 성남시
돌마로,37.4139401,127.1438001,37.3500701,127.1027701,은행나무+느티나무+벚나무,,6.7,,은행나무 느티나무 벚나무가 있음,,,돌마로,,,2022-02-17,3780000,경기도 성남시
성남대로,37.4167701,127.1287401,37.3358401,127.1089901,은행나무+느티나무,,9.7,,은행나무 느티나무가 있음,,,성남대로,,,2022-02-17,3780000,경기도 성남시
한천로105길,37.625103,127.044849,37.626518,127.047391,은행나무+이팝나무,57,0.3,,가을철 노랗게 물든 은행나무길과 늦가을 아름다운 은행낙엽을 볼 수 있는 아름다운 가로수길,,,북서울꿈의숲방면~한천로방면,02-901-6944,서울특별시 강북구,2021-06-18,3080000,서울특별시 강북구
한천로115길,37.631429,127.037271,37.362871,127.038725,은행나무,13,0.2,,가을철 노랗게 물든 은행나무길과 늦가을 아름다운 은행낙엽을 볼 수 있는 아름다운 가로수길,,,번동초등학교~한천로방면,02-901-6944,서울특별시 강북구,2021-06-18,3080000,서울특별시 강북구
한천로139길,37.638546,127.024745,37.640062,127.026639,은행나무,26,0.2,,가을철 노랗게 물든 은행나무길과 늦가을 아름다운 은행낙엽을 볼 수 있는 아름다운 가로수길,,,노해로8길방면~한천로방면,02-901-6944,서울특별시 강북구,2021-06-18,3080000,서울특별시 강북구
한천로150길,37.644831,127.027065,37.642922,127.022689,은행나무,39,0.4,,가을철 노랗게 물든 은행나무길과 늦가을 아름다운 은행낙엽을 볼 수 있는 아름다운 가로수길,,,강북중학교~한천로방면,02-901-6944,서울특별시 강북구,2021-06-18,3080000,서울특별시 강북구
한천로159길,37.644019,127.018801,37.644872,127.019834,단풍나무,14,0.14,,가을철 붉게 물든 오색단풍을 감상할 수 있는 아름다운 가로수길,,,삼양로116길방면~한천로방면,02-901-6944,서울특별시 강북구,2021-06-18,3080000,서울특별시 강북구
도봉로66길,37.630248,127.025601,37.630636,127.026979,이팝나무+단풍나무+소나무+매화나무+배롱나무,29,0.95,,하얀꽃을 가진 이팝나무가 인상적인 가로수길,,,미아현대아파트~성신여대,02-901-6944,서울특별시 강북구,2021-06-18,3080000,서울특별시 강북구
오현로9길,37.623984,127.032161,37.616583,127.034051,이팝나무,42,0.84,,하얀꽃을 가진 이팝나무가 인상적인 가로수길,,,미아동 258-188~꿈의숲 해링턴 플레이스아파트,02-901-6944,서울특별시 강북구,2021-06-18,3080000,서울특별시 강북구
송광사 왕벚나무길,35.865122,127.247498,35.878852,127.243766,왕벚나무,470,2.5,1970,한국의 아름다운 길 100선 중 한곳(국토부),지방도741호선,지방도,소양면 죽절리~해월리,063-290-3733,완주군청,2021-06-24,4720000,전라북도 완주군
배롱나무길,35.941567,127.164817,35.976851,127.121866,배롱나무,1134,6,2014,봉동로 명품가로수길,지방도799호선,지방도,봉동교회전교차로-익산나들목,063-290-3733,완주군청,2021-06-24,4720000,전라북도 완주군
무궁화100리길,35.878141,127.155021,36.008571,127.239111,무궁화,14000,36,2009,제6회 나라꽃 무궁화 명소 최우수기관 선정,국도17호선,국도,용진읍 상운리 ~화산면 종리,063-290-3733,완주군청,2021-06-24,4720000,전라북도 완주군
백양사진입로,37.517836,127.023382,37.524013,127.022367,단풍나무,968,13,1997,양옆으로 단풍나무가 터널식으로 조성되어 있으며 백양산의 기암괴석과 천연기념물인 비자나무 숲으로 이루어진 백양사를 배경으로 아름다운 오색단풍을 느낄 수 있음,지방도708호+지방도709호,지방도,장성백계~고창도계,043-830-3272,장성군청,2021-06-24,4980000,전라남도 장성군
광나루로,37.548227,127.067856,37.538537,127.099242,버즘나무 외 4종,622,2.7,,"버즘나무, 느티나무 등 가로수 5종이 식재된 거리",광나루로,특별시도,화양사거리~올림픽대교 북단,02-450-7792,서울특별시 광진구청,2021-06-22,3040000,서울특별시 광진구
아차산로,37.542106,127.064038,37.551008,127.109113,버즘나무 외 15종,879,4.7,,"버즘나무, 이팝나무 등 가로수 16종이 식재된 거리",아차산로,특별시도,성수사거리~워커힐 아파트 단지 앞,02-450-7792,서울특별시 광진구청,2021-06-22,3040000,서울특별시 광진구
뚝섬로,37.537046,127.061526,37.534426,127.091635,버즘나무 외 2종,461,2.9,,버즘나무 등 가로수 3종이 식재된 거리,뚝섬로,특별시도,영동대교 북단~뚝섬로 구의강변로 교차로,02-450-7792,서울특별시 광진구청,2021-06-22,3040000,서울특별시 광진구
동일로,37.540103,127.062856,37.557898,127.072871,버즘나무 외 4종,668,4.6,,버즘나무 등 가로수 5종이 식재된 거리,동일로,특별시도,영동대교 북단~장평교 교차로,02-450-7792,서울특별시 광진구청,2021-06-22,3040000,서울특별시 광진구
답십리로,37.571683,127.079319,37.571309,127.083364,버즘나무 외 1종,25,0.3,,"버즘나무, 회화나무 가로수가 식재된 거리",답십리로,특별시도,장평교~ 답십리로 면목로 교차로,02-450-7792,서울특별시 광진구청,2021-06-22,3040000,서울특별시 광진구
능동로,37.531969,127.066976,37.568477,127.085917,느티나무 외 3종,871,4.3,,느티나무 등 가로수 3종이 식재된 거리,능동로,특별시도,청담대교 북단~용곡삼거리,02-450-7792,서울특별시 광진구청,2021-06-22,3040000,서울특별시 광진구
자양로,37.530557,127.086818,37.554393,127.094414,이팝나무 외 2종,472,3.2,,이팝나무 등 가로수 3종이 식재된 거리,자양로,특별시도,잠실대교 북단~영화사 삼거리,02-450-7792,서울특별시 광진구청,2021-06-22,3040000,서울특별시 광진구
용마산로,37.553628,127.088556,37.570756,127.086174,은행나무 외 1종,413,1.9,,"은행나무, 왕벚나무 가로수 식재된 거리",용마산로,특별시도,아차산역 삼거리~중곡3동 우편취급국,02-450-7792,서울특별시 광진구청,2021-06-22,3040000,서울특별시 광진구
천호대로,37.559207,127.073879,37.544254,127.107246,버즘나무 외 10종,726,3.5,,"버즘나무, 은행나무 등 가로수 11종이 식재된 거리",천호대로,특별시도,군자교~천호대교,02-450-7792,서울특별시 광진구청,2021-06-22,3040000,서울특별시 광진구
구천면로,37.546406,127.105604,37.546228,127.108415,왕벚나무 외 1종,52,0.3,,"왕벚나무, 이팝나무 가로수가 식재된 거리",구천면로,특별시도,광진청소년수련관 앞 삼거리~광진교 북단,02-450-7792,서울특별시 광진구청,2021-06-22,3040000,서울특별시 광진구
광장로,37.545366,127.097783,37.548014,127.107182,은행나무,39,0.9,,은행나무 가로수가 식재된 거리,광장로,구도,몽골학교 앞~강평주유소 앞 삼거리,02-450-7792,서울특별시 광진구청,2021-06-22,3040000,서울특별시 광진구
워커힐로,37.542587,127.094457,37.551791,127.106866,왕벚나무 외 1종,161,1.7,,"왕벚나무, 은행나무 가로수 식재된 거리",워커힐로,구도,광장동 자이아파트~워커힐 아파트 뒤,02-450-7792,서울특별시 광진구청,2021-06-22,3040000,서울특별시 광진구
구의로,37.538016,127.089168,37.544458,127.090648,목백합,63,0.8,,목백합 가로수가 식재된 거리,구의로,구도,KT 앞 교차로~구의시장 교차로,02-450-7792,서울특별시 광진구청,2021-06-22,3040000,서울특별시 광진구
광나루로56길,37.535909,127.094479,37.539235,127.098352,은행나무,209,0.5,,은행나무 가로수가 식재된 거리,광나루로56길,구도,구의공원 앞~광남중고교입구 교차로,02-450-7792,서울특별시 광진구청,2021-06-22,3040000,서울특별시 광진구
강변역로,37.538078,127.090091,37.537397,127.093288,은행나무 외 1종,86,1,,"은행나무, 느티나무 가로수가 식재된 거리",강변역로,구도,광진우체국 앞 교차로~일동후디스 앞 교차로,02-450-7792,서울특별시 광진구청,2021-06-22,3040000,서울특별시 광진구
풍천변,35.493193,127.606663,35.493195,127.606594,왕벚나무,300,1.2,,양 옆 왕벚나무 식재 조성,,,갈건교 ~ 청건교,063-620-6438,전라북도 남원시청,2021-09-16,4700000,전라북도 남원시
풍천변,35.493195,127.606594,35.493193,127.606663,왕벚나무,266,2,,양 옆 왕벚나무 식재 조성,,,청건교 ~ 갈건교,063-620-6438,전라북도 남원시청,2021-09-16,4700000,전라북도 남원시
아백로,35.484126,127.589151,35.507489,127.614311,"은행나무, 왕벚나무, 배롱나무, 철쭉",756,4,2019,"양 옆 은행나무, 왕벚나무, 배롱나무, 철쭉 식재 조성",,,아영면 지리산IC~아영초교 및 풍천 청건교~ 아동교,063-620-6438,전라북도 남원시청,2021-09-16,4700000,전라북도 남원시
풍천변,35.492127,127.601919,35.493193,127.606663,왕벚나무,223,2.5,2019,양 옆 왕벚나무 식재 조성,,,갈계리~ 갈건교,063-620-6438,전라북도 남원시청,2021-09-16,4700000,전라북도 남원시
요천로(17호선),35.310596,127.299971,35.360845,127.297751,배롱나무,1482,11,,양 옆 배롱나무 식재 조성,,요천로(17호선),금지면 귀석리 ~ 금지면 옹정리,063-620-6438,전라북도 남원시청,2021-09-16,4700000,전라북도 남원시
섬진로,35.317582,127.301854,35.339282,127.232986,왕벚나무,870,3.5,,양 옆 왕벚나무 식재 조성,,,금지면 귀석리 ~ 대강면 사석리,063-620-6438,전라북도 남원시청,2021-09-16,4700000,전라북도 남원시
요천로,35.308056,127.310546,35.370552,127.311262,살구나무,156,0,2017,양 옆 살구나무 식재 조성,,,요천 제방변(금지 하도 ~ 주생 제천),063-620-6438,전라북도 남원시청,2021-09-16,4700000,전라북도 남원시
요천로,35.410969,127.390374,35.311234,127.295729,배롱나무,52,0,2016,양 옆 배롱나무 식재 조성,,,금지면 자연농원~금곡교,063-620-6438,전라북도 남원시청,2021-09-16,4700000,전라북도 남원시
정령치로(60호선),35.387497,127.395475,35.363551,127.521594,"이팝나무, 왕벚나무, 단풍나무",978,15,,"양 옆 이팝나무, 왕벚나무, 단풍나무 식재 조성",,,주천면 ~ 정령치,063-620-6438,전라북도 남원시청,2021-09-16,4700000,전라북도 남원시
원천로,35.407614,127.409411,35.390558,127.441948,"이팝나무, 메타세코이아",434,3.8,,"양 옆 이팝나무, 메타세코이아 식재 조성",,,용담마을 ~ 주천면사무소,063-620-6438,전라북도 남원시청,2021-09-16,4700000,전라북도 남원시
장백산로,35.405366,127.452773,35.391288,127.449435,"느티나무, 이팝나무, 소나무",380,1.6,,"양 옆 느티나무, 이팝나무, 소나무 식재 조성",,,이백면 효기리 ~ 남원호텔삼거리,063-620-6438,전라북도 남원시청,2021-09-16,4700000,전라북도 남원시
장안용궁길,35.388511,127.455782,35.390253,127.441314,산수유,141,2.7,,양 옆 산수유 식재 조성,,,호경마을~장안리,063-620-6438,전라북도 남원시청,2021-09-16,4700000,전라북도 남원시
구룡폭포길,35.385993,127.496249,35.391684,127.484192,단풍나무,77,1.6,,양 옆 단풍나무 식재 조성,,,내기삼거리~구룡폭포입구,063-620-6438,전라북도 남원시청,2021-09-16,4700000,전라북도 남원시
산업로(19호선),35.446927,127.369601,35.357101,127.436499,배롱나무,1743,13,,양 옆 배롱나무 식재 조성,,,서남대학교~구례경계,063-620-6438,전라북도 남원시청,2021-09-16,4700000,전라북도 남원시
덕촌길,35.367561,127.404344,35.367141,127.412051,왕벚나무,123,0.5,,양 옆 왕벚나무 식재 조성,,,배촌마을~덕촌마을,063-620-6438,전라북도 남원시청,2021-09-16,4700000,전라북도 남원시
"주천로,아백로,풍천변",35.391494,127.387343,35.488531,127.474116,"왕벚나무, 살구나무",173,0,2018,"양 옆 왕벚나무, 살구나무 식재 조성",,,"주천선(현대제재소~웅치삼거리), 아영 풍천변(갈건교~청건교), 요천 100리숲길(요천교, 산동교 일원)",063-620-6438,전라북도 남원시청,2021-09-16,4700000,전라북도 남원시
정령치로,35.390456,127.441146,35.390633,127.443146,이팝나무,158,0.7,,양 옆 이팝나무 식재 조성,,,주천면 일원,063-620-6438,전라북도 남원시청,2021-09-16,4700000,전라북도 남원시
고주로(60호선),35.337827,127.371199,35.282748,127.302997,왕벚나무,86,0.5,,양 옆 왕벚나무 식재 조성,,,수지농협~수지중학교 삼거리등동마을 삼거리~곡성입구,063-620-6438,전라북도 남원시청,2021-09-16,4700000,전라북도 남원시
요천로(17호선),35.395525,127.356231,35.382087,127.328713,배롱나무,786,6,,양 옆 배롱나무 식재 조성,,,조산교차로 ~ 금지면 경계,063-620-6438,전라북도 남원시청,2021-09-16,4700000,전라북도 남원시
요천제방길,35.395525,127.356231,35.382087,127.328713,목백합,300,6,,양 옆 목백합 식재 조성,,,조산교차로 ~ 금지면 경계,063-620-6438,전라북도 남원시청,2021-09-16,4700000,전라북도 남원시
대곡천제방길,35.381487,127.316371,35.384098,127.317768,왕벚나무,77,6,,양 옆 왕벚나무 식재 조성,,,유매 마을회관 ~ 유매교,063-620-6438,전라북도 남원시청,2021-09-16,4700000,전라북도 남원시
주송길,35.375929,127.313885,35.376631,127.333319,목백합,133,2.4,2019,양 옆 목백합 식재 조성,,,대곡천 앞~ 주생교,063-620-6438,전라북도 남원시청,2021-09-16,4700000,전라북도 남원시
주생금풍길,35.387722,127.283479,35.384636,127.283672,"왕벚나무, 배롱나무",38,0.3,2016,"양 옆 왕벚나무, 배롱나무 식재 조성",,,주생면 금풍제 일원,063-620-6438,전라북도 남원시청,2021-09-16,4700000,전라북도 남원시
섬진로(730호선),35.345576,127.228107,35.336648,127.231782,왕벚나무,594,4.1,,양 옆 왕벚나무 식재 조성,,,대강면 사석리 ~ 대강면 사석리,063-620-6438,전라북도 남원시청,2021-09-16,4700000,전라북도 남원시
금탄로(745호선),35.345576,127.228107,35.345856,127.207431,배롱나무,217,3,,양 옆 배롱나무 식재 조성,,,대강면 사석리 ~ 대강면 월탄리,063-620-6438,전라북도 남원시청,2021-09-16,4700000,전라북도 남원시
비홍로(24호선),35.400498,127.330661,35.395861,127.321624,배롱나무,260,4,,양 옆 배롱나무 식재 조성,,,대강면 풍산리 ~ 대강면 풍산리,063-620-6438,전라북도 남원시청,2021-09-16,4700000,전라북도 남원시
섬진로(13호선),35.343147,127.229127,35.387595,127.242006,배롱나무,317,4,,양 옆 배롱나무 식재 조성,,,대강면 풍산리 ~ 대강면 평촌리,063-620-6438,전라북도 남원시청,2021-09-16,4700000,전라북도 남원시
유등로,35.396991,127.207725,35.394405,127.208568,이팝나무,96,0.8,,양 옆 이팝나무 식재 조성,,,대강 입암리 ~ 고속도로 교각부,063-620-6438,전라북도 남원시청,2021-09-16,4700000,전라북도 남원시
유등로,35.376963,127.217476,35.387058,127.254441,"느티나무, 이팝나무",97,0,,"양 옆 느티나무, 이팝나무 식재 조성",,,대강 입암 유등로 ~ 주천 육모정 진입도로 입구,063-620-6438,전라북도 남원시청,2021-09-16,4700000,전라북도 남원시
용투산로길,35.367892,127.337623,35.371517,127.342353,"왕벚나무, 배롱나무, 무궁화",1241,1.7,,"양 옆 왕벚나무, 배롱나무, 무궁화 식재 조성",,,송동면 장국리~송동면 흑송리,063-620-6438,전라북도 남원시청,2021-09-16,4700000,전라북도 남원시
하촌서로,37.454995,126.730114,37.448681,126.729524,은행나무+목백합나무+이팝나무,98,0.65,,아름다운 도시녹화 조성,하촌서로,구도,하촌서로,032-453-2864,인천광역시 남동구청,2021-04-12,3530000,인천광역시 남동구
함박뫼뢰,37.416416,126.696402,37.408831,126.712397,메타세콰이아+은행나무,303,1.35,,아름다운 도시녹화 조성,함박뫼뢰,구도,함박뫼뢰,032-453-2864,인천광역시 남동구청,2021-04-12,3530000,인천광역시 남동구
호구포로,37.464403,126.720773,37.386217,126.697824,느티나무+메타세콰이아+버즘나무+벚나무+은행나무+자귀나무+목백합,2270,9.41,,아름다운 도시녹화 조성,호구포로,구도,호구포로,032-453-2864,인천광역시 남동구청,2021-04-12,3530000,인천광역시 남동구
호구포로 120번길,37.394586,126.704292,37.392189,126.711335,중국단풍,72,0.37,,아름다운 도시녹화 조성,호구포로 120번길,구도,호구포로 120번길,032-453-2864,인천광역시 남동구청,2021-04-12,3530000,인천광역시 남동구
호구포로 764번길,37.450545,126.719291,37.450261,126.724328,은행나무,87,0.46,,아름다운 도시녹화 조성,호구포로 764번길,구도,호구포로 764번길,032-453-2864,인천광역시 남동구청,2021-04-12,3530000,인천광역시 남동구
호구포로 765번길,37.450976,126.714343,37.450744,126.718711,은행나무,71,0.38,,아름다운 도시녹화 조성,호구포로 765번길,구도,호구포로 765번길,032-453-2864,인천광역시 남동구청,2021-04-12,3530000,인천광역시 남동구
매곡중산지구,,,,,느티나무,80,0.64,,느티나무길,,,중로2-124,052-241-7954,울산광역시 북구청,2021-08-03,3720000,울산광역시 북구
매곡중산지구,,,,,이팝나무,11,0.088,,이팝나무길,,,중로2-456,052-241-7954,울산광역시 북구청,2021-08-03,3720000,울산광역시 북구
매곡중산지구,,,,,이팝나무,33,0.264,,이팝나무길,,,중로2-126,052-241-7954,울산광역시 북구청,2021-08-03,3720000,울산광역시 북구
용북길,35.497641,127.359122,35.491341,127.364777,왕벚나무,67,1,,양 옆 왕벚나무 식재 조성,,,사매농협 앞 ~ 용북중학교,063-620-6438,전라북도 남원시청,2021-09-16,4700000,전라북도 남원시
덕오로,35.506537,127.361721,35.492994,127.357294,은행나무,170,2.2,,양 옆 은행나무 식재 조성,,,율천교 ~ 사매교차로,063-620-6438,전라북도 남원시청,2021-09-16,4700000,전라북도 남원시
대사로(746호선),35.413597,127.330549,35.431621,127.325044,이팝나무,1177,18.4,,양 옆 이팝나무 식재 조성,,대사로(746호선),대산면 감성삼거리~사매면 경계대산면 대곡삼거리~심곡 모정,063-620-6438,전라북도 남원시청,2021-09-16,4700000,전라북도 남원시
문화마을길,35.426407,127.435254,35.427376,127.435717,"은행나무, 왕벚나무",181,1.6,,"양 옆 은행나무, 왕벚나무 식재 조성",,,문화마을길 ~ 문화마을 안길,063-620-6438,전라북도 남원시청,2021-09-16,4700000,전라북도 남원시
산업도로,35.444958,127.380631,35.372936,127.439168,배롱나무,325,2.6,,양 옆 배롱나무 식재 조성,,,산업도로(고죽교차~용담교),063-620-6438,전라북도 남원시청,2021-09-16,4700000,전라북도 남원시
강기천변,35.449254,127.434531,35.448905,127.434880,왕벚나무,119,0.9,2020,양 옆 왕벚나무 식재 조성,,,이백면 강기천변(요천 ~ 이백내척길 앞),063-620-6438,전라북도 남원시청,2021-09-16,4700000,전라북도 남원시
이백로,35.426699,127.426011,35.424612,127.438844,왕벚나무,249,1.3,2020,양 옆 왕벚나무 식재 조성,,,이백면 백암천변(오동교 ~ 초촌교),063-620-6438,전라북도 남원시청,2021-09-16,4700000,전라북도 남원시
